Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target
2020-01-30,586.75,586.75,576.45,580.64,12111984,-0.0206,-0.0306,-0.0381,46.9283,-0.0105,-0.0071,-4.785,0.0167,0.0767,12741552.0,0.9506,-0.0079,-0.0151,-0.0479,0.0177,0.4068,50.3543,45.593,0.0103,0.0082,-0.0099,-0.0099,1.1081,1.1236,1
2020-01-31,583.2,586.21,577.9,580.76,11178268,-0.0185,-0.0292,-0.0375,47.0287,-0.0109,-0.0078,-4.0574,0.0166,0.0792,12757687.9,0.8762,0.0002,-0.0147,-0.0406,0.0143,0.3442,46.9283,50.3543,-0.0079,0.0103,-0.0105,-0.0099,0.9506,1.1081,0
2020-02-03,566.88,567.33,557.74,564.9,13077010,-0.0412,-0.0537,-0.0632,37.0537,-0.0135,-0.0091,-4.9486,0.019,0.0933,12867029.1,1.0163,-0.0273,-0.0168,-0.0495,0.017,0.7466,47.0287,46.9283,0.0002,-0.0079,-0.0109,-0.0105,0.8762,0.9506,1
2020-02-04,567.36,584.41,567.36,582.42,20897704,-0.0103,-0.0234,-0.0338,49.7366,-0.0124,-0.0096,-1.1692,0.02,0.0917,13175689.6,1.5861,0.031,0.0054,-0.0117,0.0293,0.8833,37.0537,47.0287,-0.0273,0.0002,-0.0135,-0.0109,1.0163,0.8762,1
2020-02-05,584.83,591.04,581.23,589.45,18020682,0.0015,-0.0112,-0.0219,53.7623,-0.0105,-0.0097,0.3063,0.0203,0.0905,13510118.2,1.3339,0.0121,0.0071,0.0031,0.0166,0.8379,49.7366,37.0537,0.031,-0.0273,-0.0124,-0.0135,1.5861,1.0163,0
2020-02-06,589.45,591.37,585.92,587.15,11827550,-0.0022,-0.0144,-0.0255,52.2868,-0.0095,-0.0097,-0.4071,0.0201,0.0897,13624179.9,0.8681,-0.0039,0.0112,-0.0041,0.0093,0.2257,53.7623,49.7366,0.0121,0.031,-0.0105,-0.0124,1.3339,1.5861,1
2020-02-07,590.09,590.56,583.27,588.29,6815448,-0.0003,-0.012,-0.0234,52.9757,-0.0083,-0.0094,-0.1883,0.0179,0.0857,13504223.3,0.5047,0.0019,0.013,-0.0019,0.0124,0.6886,52.2868,53.7623,-0.0039,0.0121,-0.0095,-0.0105,0.8681,1.3339,0
2020-02-10,588.65,588.65,580.64,587.39,9219834,-0.0016,-0.013,-0.0246,52.3333,-0.0074,-0.009,2.233,0.018,0.0805,13592636.6,0.6783,-0.0015,0.0398,0.0223,0.0136,0.8427,52.9757,52.2868,0.0019,-0.0039,-0.0083,-0.0095,0.5047,0.8681,1
2020-02-11,588.81,594.35,586.33,587.53,11613520,-0.0012,-0.0123,-0.0242,52.4299,-0.0067,-0.0085,1.4224,0.0178,0.0727,13778998.1,0.8428,0.0002,0.0088,0.0142,0.0137,0.1496,52.3333,52.9757,-0.0015,0.0019,-0.0074,-0.0083,0.6783,0.5047,1
2020-02-12,589.71,593.36,589.17,591.51,6297930,0.005,-0.0054,-0.0174,55.21,-0.0054,-0.0079,1.0644,0.0174,0.0651,13504522.2,0.4664,0.0068,0.0035,0.0106,0.0071,0.5585,52.4299,52.3333,0.0002,-0.0015,-0.0067,-0.0074,0.8428,0.6783,0
