Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2026-01-30,31.65,32.85,31.4,32.33,63496645,-0.076,-0.1482,-0.3296,35.3986,-0.0563,-0.0401,-16.3086,0.0511,0.5309,108461731.95,0.5854,0.0151,-0.0194,-0.1631,0.0448,0.6414,32.828,33.4197,-0.0072,0.0171,-0.0569,-0.054,0.3641,0.4987,0,0.3956,-1,0
2026-02-02,31.6,31.99,30.46,31.82,40129664,-0.0826,-0.1563,-0.3379,33.9136,-0.0579,-0.0442,-14.5542,0.0502,0.5434,96206907.4,0.4171,-0.0158,-0.0041,-0.1455,0.0481,0.8889,35.3986,32.828,0.0151,-0.0072,-0.0563,-0.0569,0.5854,0.3641,0,0.3972,-1,0
2026-02-03,33.55,33.55,30.8,31.03,61221386,-0.0963,-0.1715,-0.3521,31.6955,-0.0614,-0.0485,-13.1542,0.0532,0.5285,83225279.95,0.7356,-0.0248,-0.0162,-0.1315,0.0886,0.0836,33.9136,35.3986,-0.0158,0.0151,-0.0579,-0.0563,0.4171,0.5854,1,0.3999,-1,0
2026-02-04,31.0,32.38,30.75,32.15,52258574,-0.058,-0.1368,-0.3265,37.897,-0.0572,-0.0489,-1.2592,0.0521,0.4646,70892130.7,0.7372,0.0361,0.0022,-0.0126,0.0507,0.8589,31.6955,33.9136,-0.0248,-0.0158,-0.0614,-0.0579,0.7356,0.4171,0,0.4089,-1,0
2026-02-05,32.3,32.3,31.28,31.45,32116189,-0.0716,-0.1504,-0.3389,35.7145,-0.0581,-0.0516,-4.3782,0.0556,0.4354,66033861.25,0.4864,-0.0218,-0.0126,-0.0438,0.0324,0.1667,37.897,31.6955,0.0361,-0.0248,-0.0572,-0.0614,0.7372,0.7356,1,0.3606,-1,0
2026-02-06,31.5,31.8,31.07,31.7,27253249,-0.0584,-0.1388,-0.3315,37.1076,-0.0559,-0.0522,-3.852,0.0515,0.4031,63120223.9,0.4318,0.0079,-0.0195,-0.0385,0.023,0.863,35.7145,37.897,-0.0218,0.0361,-0.0581,-0.0572,0.4864,0.7372,0,0.4061,-1,0
2026-02-09,31.8,31.94,31.3,31.54,34846463,-0.0575,-0.1383,-0.3326,36.5615,-0.0547,-0.0529,-1.2833,0.0494,0.3794,60442918.05,0.5765,-0.005,-0.0088,-0.0128,0.0203,0.375,37.1076,35.7145,0.0079,-0.0218,-0.0559,-0.0581,0.4318,0.4864,0,0.3622,-1,0
2026-02-10,31.68,32.55,31.0,31.18,57753079,-0.0622,-0.1431,-0.338,35.3027,-0.0544,-0.0537,-1.1414,0.0452,0.3518,58356985.8,0.9897,-0.0114,0.0048,-0.0114,0.0497,0.1161,36.5615,37.1076,-0.005,0.0079,-0.0547,-0.0559,0.5765,0.4318,1,0.3661,-1,0
2026-02-11,31.45,31.72,31.09,31.42,26929663,-0.05,-0.1319,-0.3307,36.8634,-0.052,-0.053,-2.0574,0.0419,0.3103,55846070.1,0.4822,0.0077,-0.0227,-0.0206,0.0201,0.5238,35.3027,36.5615,-0.0114,-0.005,-0.0544,-0.0547,0.9897,0.5765,0,0.3634,-1,0
2026-02-12,31.51,31.54,30.77,30.97,21471428,-0.0579,-0.1395,-0.338,35.1512,-0.0518,-0.0534,-2.763,0.0414,0.2698,54085914.15,0.397,-0.0143,-0.0153,-0.0276,0.0249,0.2597,36.8634,35.3027,0.0077,-0.0114,-0.052,-0.0544,0.4822,0.9897,0,0.3484,-1,0
2026-02-13,30.9,31.43,30.41,30.89,32322179,-0.0549,-0.1369,-0.3375,34.8413,-0.0508,-0.053,-4.4541,0.0402,0.2043,55702023.1,0.5803,-0.0026,-0.0256,-0.0445,0.033,0.4706,35.1512,36.8634,-0.0143,0.0077,-0.0518,-0.052,0.397,0.4822,0,0.3666,-1,0
2026-02-16,29.9,29.9,28.7,28.83,85359167,-0.1079,-0.1883,-0.3793,27.998,-0.0585,-0.0571,-9.3966,0.0448,0.1766,56605828.1,1.508,-0.0667,-0.0859,-0.094,0.0416,0.1083,34.8413,35.1512,-0.0026,-0.0143,-0.0508,-0.0518,0.5803,0.397,0,0.3778,-1,0
2026-02-17,28.69,28.69,27.36,27.98,137519708,-0.123,-0.2056,-0.3952,25.7505,-0.0653,-0.0601,-9.8292,0.0474,0.1723,60498721.05,2.2731,-0.0295,-0.1026,-0.0983,0.0475,0.4662,27.998,34.8413,-0.0667,-0.0026,-0.0585,-0.0508,1.508,0.5803,1,0.4371,-1,0
2026-02-18,27.95,29.35,27.79,28.21,117185846,-0.1059,-0.1927,-0.3879,27.4476,-0.0673,-0.0612,-12.2551,0.0488,0.1951,59403465.95,1.9727,0.0082,-0.1022,-0.1226,0.0553,0.2692,25.7505,27.998,-0.0295,-0.0667,-0.0653,-0.0585,2.2731,1.508,0,0.4074,-1,0
2026-02-19,28.21,28.47,27.3,27.51,52518054,-0.1173,-0.2062,-0.4007,25.5347,-0.0723,-0.0647,-12.5278,0.0493,0.2255,54634116.6,0.9613,-0.0248,-0.1117,-0.1253,0.0425,0.1795,27.4476,25.7505,0.0082,-0.0295,-0.0673,-0.0653,1.9727,2.2731,0,0.3929,-1,0
2026-02-20,27.35,27.38,26.3,26.55,53351768,-0.136,-0.2268,-0.4191,23.1516,-0.0796,-0.0695,-16.2461,0.0493,0.2659,54851971.55,0.9726,-0.0349,-0.1405,-0.1625,0.0407,0.2315,25.5347,27.4476,-0.0248,0.0082,-0.0723,-0.0673,0.9613,1.9727,0,0.4181,-1,0
2026-02-23,26.5,26.78,25.7,25.85,94940789,-0.1458,-0.2398,-0.432,21.5708,-0.0868,-0.0745,-18.0406,0.0461,0.3149,57564625.0,1.6493,-0.0264,-0.1034,-0.1804,0.0418,0.1389,23.1516,25.5347,-0.0349,-0.0248,-0.0796,-0.0723,0.9726,0.9613,0,0.4153,-1,0
2026-02-24,25.7,26.4,25.0,25.14,65924049,-0.1557,-0.253,-0.4451,20.0736,-0.0945,-0.0802,-19.3714,0.0467,0.3691,57566668.0,1.1452,-0.0275,-0.1015,-0.1937,0.0557,0.1,21.5708,23.1516,-0.0264,-0.0349,-0.0868,-0.0796,1.6493,0.9726,1,0.4154,-1,0
2026-02-25,25.39,25.79,24.82,25.56,72323150,-0.1298,-0.2333,-0.4334,23.458,-0.0947,-0.082,-18.6505,0.0458,0.3864,58440700.05,1.2375,0.0167,-0.0939,-0.1865,0.0379,0.7629,20.0736,21.5708,-0.0275,-0.0264,-0.0945,-0.0868,1.1452,1.6493,0,0.4389,-1,0
2026-02-26,25.55,26.12,25.0,25.13,56555709,-0.1325,-0.2389,-0.4405,22.4117,-0.0979,-0.0863,-18.857,0.0477,0.4161,59273837.95,0.9541,-0.0168,-0.0865,-0.1886,0.0446,0.1161,23.458,20.0736,0.0167,-0.0275,-0.0947,-0.0945,1.2375,1.1452,1,0.398,-1,0
2026-02-27,25.12,25.49,24.78,25.22,53882205,-0.1186,-0.229,-0.436,23.184,-0.0974,-0.0883,-18.3555,0.0477,0.4238,58793115.95,0.9165,0.0036,-0.0501,-0.1836,0.0282,0.6197,22.4117,23.458,-0.0168,0.0167,-0.0979,-0.0947,0.9541,1.2375,0,0.4321,-1,0
2026-03-02,24.0,24.9,23.62,24.08,63409137,-0.1455,-0.2562,-0.459,20.4123,-0.1045,-0.0949,-16.4759,0.0501,0.4652,59957089.6,1.0576,-0.0452,-0.0685,-0.1648,0.0532,0.3594,23.184,22.4117,0.0036,-0.0168,-0.0974,-0.0979,0.9165,0.9541,1,0.4299,-1,0
2026-03-04,24.0,26.1,23.75,24.65,171294984,-0.1147,-0.2314,-0.4437,25.2258,-0.101,-0.0944,-11.9014,0.054,0.4663,65460769.5,2.6168,0.0237,-0.0195,-0.119,0.0953,0.383,20.4123,23.184,-0.0452,0.0036,-0.1045,-0.0974,1.0576,0.9165,0,0.4754,-1,0
2026-03-05,25.05,25.2,24.11,24.39,48278492,-0.1136,-0.2323,-0.4471,24.498,-0.1009,-0.0965,-13.5413,0.0555,0.4675,65261765.4,0.7398,-0.0105,-0.0458,-0.1354,0.0447,0.2569,25.2258,20.4123,0.0237,-0.0452,-0.101,-0.1045,2.6168,1.0576,0,0.4098,-1,0
2026-03-06,24.39,24.53,23.94,24.07,28412398,-0.1147,-0.2351,-0.4519,23.5956,-0.1012,-0.0984,-12.5045,0.0549,0.473,65076575.85,0.4366,-0.0131,-0.0422,-0.125,0.0245,0.2203,24.498,25.2258,-0.0105,0.0237,-0.1009,-0.101,0.7398,2.6168,0,0.4271,-1,0
2026-03-09,23.56,23.81,23.01,23.27,36993403,-0.1322,-0.2528,-0.4676,21.4668,-0.1054,-0.1025,-12.354,0.0533,0.4851,65563583.55,0.5642,-0.0332,-0.0773,-0.1235,0.0344,0.325,23.5956,24.498,-0.0131,-0.0105,-0.1012,-0.1009,0.4366,0.7398,1,0.4279,-1,0
2026-03-10,23.5,24.6,23.4,24.22,54237734,-0.0883,-0.2155,-0.4434,29.5905,-0.0975,-0.0983,-6.3056,0.0508,0.4444,66533147.1,0.8152,0.0408,0.0058,-0.0631,0.0495,0.6833,21.4668,23.5956,-0.0332,-0.0131,-0.1054,-0.1012,0.5642,0.4366,0,0.4378,-1,0
2026-03-11,24.3,25.04,23.65,23.92,47139026,-0.091,-0.2183,-0.4478,28.5849,-0.0956,-0.0988,-4.8528,0.051,0.4262,66002444.45,0.7142,-0.0124,-0.0296,-0.0485,0.0581,0.1942,29.5905,21.4668,0.0408,-0.0332,-0.0975,-0.1054,0.8152,0.5642,0,0.3904,-1,0
2026-03-12,23.89,24.05,23.28,23.7,43853286,-0.0908,-0.2186,-0.4504,27.8378,-0.0937,-0.0985,-7.277,0.0502,0.3918,66848625.6,0.656,-0.0092,-0.0283,-0.0728,0.0325,0.5455,28.5849,29.5905,-0.0124,0.0408,-0.0956,-0.0975,0.7142,0.8152,0,0.4266,-1,0
