Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Regime_Trend_Strength,Regime_Return_5D,Regime_Return_20D,Regime_Volatility,Regime_ATR,Regime_BB_Width,Regime_ADX,Target,Regime_Cluster,Regime_Prob_Bear,Regime_Prob_Sideways,Regime_Prob_Bull
2020-01-30,658.59,658.9,641.22,642.89,22402689,-0.0445,-0.0468,-0.0451,50.1427,-0.0073,-0.0002,-6.1228,0.0215,0.0838,18533076.65,1.2088,-0.0244,-0.0544,-0.0612,0.0275,0.0945,57.751,56.371,0.0055,-0.0231,-0.0036,-0.0016,1.3524,1.3812,0.0018,-0.0544,-0.0596,0.0152,0.0215,0.0838,19.7458,0,0,0.9997599826585747,0.0002400173414248927,4.569968245988898e-16
2020-01-31,647.01,647.12,626.62,628.6,34750310,-0.0599,-0.0655,-0.0657,44.5284,-0.012,-0.0026,-10.7115,0.0233,0.1098,19221357.25,1.8079,-0.0222,-0.0722,-0.1071,0.0326,0.0966,50.1427,57.751,-0.0244,0.0055,-0.0073,-0.0036,1.2088,1.3524,-0.0002,-0.0722,-0.0816,0.0158,0.0233,0.1098,22.6499,0,0,0.9999988423448722,1.157649836446052e-06,5.2909180839903364e-12
2020-02-03,610.01,623.39,606.96,616.96,30712290,-0.0704,-0.0798,-0.0822,40.546,-0.0173,-0.0056,-9.5831,0.0247,0.1399,19531012.9,1.5725,-0.0185,-0.0803,-0.0958,0.0266,0.6086,44.5284,50.1427,-0.0222,-0.0244,-0.012,-0.0073,1.8079,1.2088,-0.0026,-0.0803,-0.0772,0.0155,0.0247,0.1399,25.9589,1,0,0.9999999284422348,4.868633557232989e-08,2.2871429152763303e-08
2020-02-04,623.41,637.88,622.43,635.17,25383901,-0.0391,-0.0507,-0.0546,48.3313,-0.0181,-0.0079,-7.0084,0.0253,0.1451,19966026.85,1.2714,0.0295,-0.0308,-0.0701,0.0243,0.8246,40.546,44.5284,-0.0185,-0.0222,-0.0173,-0.012,1.5725,1.8079,-0.0041,-0.0308,-0.0644,0.0167,0.0253,0.1451,27.2618,1,0,0.9999999956657755,2.753665631282705e-09,1.5805588273547855e-09
2020-02-05,638.95,646.92,636.9,645.01,18472100,-0.0219,-0.0346,-0.0396,51.9898,-0.0175,-0.0098,-5.5332,0.0253,0.1469,20087236.75,0.9196,0.0155,-0.0212,-0.0553,0.0155,0.8094,48.3313,40.546,0.0295,-0.0185,-0.0181,-0.0173,1.2714,1.5725,-0.0051,-0.0212,-0.0427,0.0172,0.0253,0.1469,27.5479,1,0,0.9999999158805797,7.9135120074338e-08,4.9843002188337154e-09
2020-02-06,647.5,653.25,641.27,649.15,15538577,-0.0142,-0.0274,-0.0331,53.4821,-0.0164,-0.011,-4.5227,0.0241,0.1451,20115028.5,0.7725,0.0064,0.0097,-0.0452,0.0185,0.6578,51.9898,48.3313,0.0155,0.0295,-0.0175,-0.0181,0.9196,1.2714,-0.0059,0.0097,-0.0583,0.0163,0.0241,0.1451,27.2197,0,0,0.9999999994229989,5.300739122902379e-10,4.6927223752627243e-11
2020-02-07,646.12,646.72,636.01,638.4,12209212,-0.0277,-0.0418,-0.0486,49.2051,-0.017,-0.0124,-5.7768,0.0219,0.1487,20101571.15,0.6074,-0.0166,0.0156,-0.0578,0.0168,0.2232,53.4821,51.9898,0.0064,0.0155,-0.0164,-0.0175,0.7725,0.9196,-0.0071,0.0156,-0.0737,0.0165,0.0219,0.1487,27.2102,1,0,0.9999999999664535,1.650061947307282e-11,1.7045564315492844e-11
2020-02-10,635.88,643.67,628.07,639.26,15142476,-0.0239,-0.039,-0.0469,49.5526,-0.017,-0.0133,-4.7104,0.0224,0.1482,19944575.85,0.7592,0.0013,0.0361,-0.0471,0.0244,0.7173,49.2051,53.4821,-0.0166,0.0064,-0.017,-0.0164,0.6074,0.7725,-0.0082,0.0361,-0.07,0.0166,0.0224,0.1482,27.6191,1,0,0.999999999985536,3.4172279384082096e-12,1.1046563017869306e-11
2020-02-11,644.52,652.89,643.47,646.9,13999816,-0.0111,-0.0265,-0.0352,52.6523,-0.0156,-0.0136,-1.2909,0.0229,0.145,19853739.9,0.7051,0.012,0.0185,-0.0129,0.0146,0.3641,49.5526,49.2051,0.0013,-0.0166,-0.017,-0.017,0.7592,0.6074,-0.0089,0.0185,-0.0501,0.0169,0.0229,0.145,27.1331,1,0,0.9999999979275369,2.0228020353989626e-09,4.9660974283096735e-11
2020-02-12,648.42,656.74,647.9,654.72,13533565,0.0008,-0.0141,-0.0233,55.6556,-0.0134,-0.0135,-0.6449,0.0226,0.1409,19739525.2,0.6856,0.0121,0.0151,-0.0064,0.0135,0.7715,52.6523,49.5526,0.012,0.0013,-0.0156,-0.017,0.7051,0.7592,-0.0093,0.0151,-0.0351,0.0172,0.0226,0.1409,26.3421,1,0,0.9999998763004482,1.2364057928398839e-07,5.89726250038947e-11
