Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Regime_Trend_Strength,Regime_Return_5D,Regime_Return_20D,Regime_Volatility,Regime_ATR,Regime_BB_Width,Regime_ADX,Target,Regime_Cluster,Regime_Prob_Bear,Regime_Prob_Sideways,Regime_Prob_Bull,Probability,Signal,Position_Change
2025-03-05,1151.06,1172.87,1147.09,1165.53,8664095,-0.0312,-0.0514,-0.1091,33.9824,-0.0167,-0.0117,-4.0645,0.0175,0.1093,10579424.5,0.819,0.0118,-0.0236,-0.0406,0.0221,0.7153,27.4682,29.3008,-0.008,-0.024,-0.016,-0.0134,1.0361,1.6502,-0.0608,-0.0236,-0.0853,0.0087,0.0175,0.1093,27.5313,1,0,0.9999999846849088,1.5315090918769416e-08,1.0216308176427122e-39,0.5462,1,0
2025-03-06,1186.75,1203.56,1175.0,1199.24,14468014,-0.0028,-0.023,-0.0825,46.7639,-0.0144,-0.012,-1.4545,0.0183,0.097,10797223.8,1.34,0.0289,0.0021,-0.0145,0.0238,0.8487,33.9824,27.4682,0.0118,-0.008,-0.0167,-0.016,0.819,1.0361,-0.0609,0.0021,-0.0537,0.0114,0.0183,0.097,26.6004,1,0,0.9999992404016664,7.595983338911334e-07,4.329001217497595e-36,0.5547,1,0
2025-03-07,1205.59,1244.06,1201.62,1239.1,16474965,0.0273,0.0091,-0.0515,57.2929,-0.0098,-0.0112,1.3628,0.0193,0.0846,11123172.0,1.4811,0.0332,0.0414,0.0136,0.0343,0.8831,46.7639,33.9824,0.0289,0.0118,-0.0144,-0.0167,1.34,0.819,-0.0601,0.0414,-0.0248,0.014,0.0193,0.0846,25.4154,0,0,0.9999947602734698,5.239726529854101e-06,1.087187002257748e-31,0.5309,1,0
2025-03-10,1234.34,1247.23,1224.82,1227.8,11931051,0.0162,-0.0001,-0.0596,54.0304,-0.0073,-0.0105,0.8352,0.0194,0.0785,11281510.4,1.0576,-0.0091,0.0573,0.0084,0.0183,0.133,57.2929,46.7639,0.0332,0.0289,-0.0098,-0.0144,1.4811,1.34,-0.0595,0.0573,-0.0223,0.0139,0.0194,0.0785,24.4289,1,0,0.9999935644863928,6.435513607427205e-06,2.3364359035771776e-31,0.5011,-1,-2
2025-03-11,1229.38,1238.8,1219.22,1236.62,10089838,0.0212,0.0068,-0.0524,56.1303,-0.0046,-0.0093,2.6965,0.0196,0.0764,11437453.7,0.8822,0.0072,0.0735,0.027,0.0158,0.8887,54.0304,57.2929,-0.0091,0.0332,-0.0073,-0.0098,1.0576,1.4811,-0.0588,0.0735,-0.0051,0.0138,0.0196,0.0764,23.2529,1,0,0.9999688433709978,3.115662900181359e-05,1.617961630937332e-30,0.4877,-1,0
2025-03-12,1247.23,1252.19,1233.35,1246.29,11977555,0.0264,0.0141,-0.0445,58.3752,-0.0018,-0.0077,4.4065,0.0197,0.0804,11593345.75,1.0331,0.0078,0.0693,0.0441,0.0151,0.6868,56.1303,54.0304,0.0072,-0.0091,-0.0046,-0.0073,0.8822,1.0576,-0.0578,0.0693,0.018,0.0134,0.0197,0.0804,22.6703,0,0,0.9995859984634544,0.000414001536546,2.0885289813495018e-29,0.5047,-1,0
2025-03-13,1249.26,1253.33,1233.2,1237.22,9505270,0.0171,0.0064,-0.051,55.5061,-0.0002,-0.0063,3.3808,0.02,0.0841,11012026.55,0.8632,-0.0073,0.0317,0.0338,0.0163,0.1997,58.3752,56.1303,0.0078,0.0072,-0.0018,-0.0046,1.0331,0.8822,-0.0571,0.0317,0.0258,0.0131,0.02,0.0841,22.172,0,0,0.9972185755343548,0.0027814244656448,4.324345585699411e-28,0.4995,-1,0
2025-03-17,1231.51,1246.63,1222.54,1228.24,16640917,0.0088,-0.0008,-0.0574,52.7421,0.0005,-0.0049,3.2291,0.0205,0.086,11418511.6,1.4574,-0.0073,-0.0088,0.0323,0.0196,0.2366,55.5061,58.3752,-0.0073,0.0078,-0.0002,-0.0018,0.8632,1.0331,-0.0566,-0.0088,0.0187,0.0132,0.0205,0.086,21.1612,0,0,0.9959202542902836,0.0040797457097161,1.2284058318619659e-26,0.4914,-1,0
2025-03-18,1228.24,1228.24,1228.24,1228.24,0,0.0079,-0.0008,-0.0568,52.7421,0.0011,-0.0037,5.7715,0.0195,0.0872,10903604.35,0.0,0.0,0.0004,0.0577,0.0,0.0,52.7421,55.5061,-0.0073,-0.0073,0.0005,-0.0002,1.4574,0.8632,-0.0561,0.0004,0.0177,0.0132,0.0195,0.0872,20.2227,1,0,0.993972596176914,0.006027403823086,3.792612621006284e-27,0.5058,-1,0
2025-03-19,1230.42,1242.52,1228.19,1236.47,16162399,0.0133,0.0057,-0.05,55.1177,0.002,-0.0026,7.3371,0.0191,0.0887,11303390.15,1.4299,0.0067,-0.0001,0.0734,0.0116,0.5778,52.7421,52.7421,0.0,-0.0073,0.0011,0.0005,0.0,1.4574,-0.0554,-0.0001,0.0182,0.0132,0.0191,0.0887,19.9649,1,0,0.99126622991803,0.0087337700819697,8.582622908394345e-27,0.5208,1,2
2025-03-20,1241.13,1262.1,1239.35,1258.28,15971477,0.0281,0.0225,-0.0329,60.7486,0.004,-0.0012,7.9578,0.0194,0.0935,11768301.5,1.3572,0.0176,0.0096,0.0796,0.0181,0.8321,55.1177,52.7421,0.0067,0.0,0.002,0.0011,1.4299,0.0,-0.0542,0.0096,0.0357,0.0137,0.0194,0.0935,20.4475,1,0,0.9733228054332242,0.0266771945667756,1.2920474360093815e-24,0.5309,1,0
