Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Regime_Trend_Strength,Regime_Return_5D,Regime_Return_20D,Regime_Volatility,Regime_ATR,Regime_BB_Width,Regime_ADX,Target,Regime_Cluster,Regime_Prob_Bear,Regime_Prob_Sideways,Regime_Prob_Bull
2020-01-30,84.65,84.65,80.16,80.91,57894,-0.0705,-0.0934,-0.1104,37.0326,-0.0273,-0.0174,-12.8313,0.0516,0.202,279287.45,0.2073,-0.0264,-0.0385,-0.1283,0.0555,0.167,40.6101,43.6495,-0.02,0.0125,-0.023,-0.0204,0.1534,0.3212,-0.0187,-0.0385,-0.1207,0.0375,0.0516,0.202,18.2991,1,1,0.004005404502283133,0.9097149115200762,0.08627968397764048
2020-01-31,82.25,82.55,80.26,80.96,30159,-0.0637,-0.0895,-0.1089,37.1687,-0.0298,-0.0199,-11.3932,0.0516,0.2142,250944.6,0.1202,0.0006,-0.0442,-0.1139,0.0283,0.3057,37.0326,40.6101,-0.0264,-0.02,-0.0273,-0.023,0.2073,0.1534,-0.0213,-0.0442,-0.0977,0.0373,0.0516,0.2142,18.7338,0,1,0.0032572503630019503,0.9482074359368518,0.04853531370014617
2020-02-03,78.52,79.71,73.93,74.68,173715,-0.1249,-0.1549,-0.1766,28.7608,-0.0407,-0.0254,-16.3062,0.0579,0.2764,256447.05,0.6774,-0.0776,-0.1083,-0.1631,0.0774,0.1298,37.1687,37.0326,0.0006,-0.0264,-0.0298,-0.0273,0.1202,0.2073,-0.0257,-0.1083,-0.1173,0.039,0.0579,0.2764,20.4847,1,1,0.05505297529939453,0.5990817196045157,0.3458653050960896
2020-02-04,74.93,78.52,74.93,76.48,90536,-0.0949,-0.1299,-0.1554,33.4104,-0.0439,-0.0286,-15.0033,0.056,0.2958,254111.65,0.3563,0.0241,-0.0981,-0.15,0.0469,0.4318,28.7608,37.1687,-0.0776,0.0006,-0.0407,-0.0298,0.6774,0.1202,-0.0293,-0.0981,-0.1277,0.0384,0.056,0.2958,22.1106,1,1,0.07194614188102705,0.7689659161942277,0.15908794192474518
2020-02-05,76.52,78.52,75.88,76.97,50784,-0.0813,-0.12,-0.1487,34.6606,-0.0459,-0.0319,-6.8724,0.0559,0.3134,253914.55,0.2,0.0064,-0.0738,-0.0687,0.0343,0.4129,33.4104,28.7608,0.0241,-0.0776,-0.0439,-0.0407,0.3563,0.6774,-0.0326,-0.0738,-0.108,0.0384,0.0559,0.3134,23.6204,1,1,0.12705104601333955,0.6797158216176006,0.19323313236905973
2020-02-06,80.76,83.7,77.72,78.92,168025,-0.0528,-0.0943,-0.126,39.5265,-0.044,-0.0337,-6.2151,0.0562,0.2953,146854.1,1.1442,0.0253,-0.0246,-0.0622,0.0758,0.2007,34.6606,33.4104,0.0064,0.0241,-0.0459,-0.0439,0.2,0.3563,-0.0351,-0.0246,-0.1685,0.0305,0.0562,0.2953,22.9435,0,1,0.17586726678430598,0.6243832971926306,0.1997494360230631
2020-02-07,80.71,80.71,77.72,78.82,45217,-0.0491,-0.092,-0.126,39.3646,-0.043,-0.0356,-6.9421,0.0561,0.2899,122613.8,0.3688,-0.0013,-0.0264,-0.0694,0.0379,0.3679,39.5265,34.6606,0.0253,0.0064,-0.044,-0.0459,1.1442,0.2,-0.0375,-0.0264,-0.1476,0.0303,0.0561,0.2899,22.315,0,1,0.11377570065587161,0.6552947779623988,0.2309295213817296
2020-02-10,79.66,79.66,76.72,76.87,17811,-0.0662,-0.1105,-0.1464,36.2468,-0.0448,-0.0381,-8.2149,0.0559,0.2941,115316.45,0.1545,-0.0247,0.0293,-0.0821,0.0382,0.051,39.3646,39.5265,-0.0013,0.0253,-0.043,-0.044,0.3688,1.1442,-0.0404,0.0293,-0.1646,0.0305,0.0559,0.2941,21.9983,0,2,0.24726384876154966,0.21604056018852083,0.5366955910499298
2020-02-11,79.12,80.66,74.73,75.68,590081,-0.0735,-0.12,-0.1583,34.4534,-0.0468,-0.0404,-10.7547,0.0548,0.3041,139429.3,4.2321,-0.0155,-0.0105,-0.1075,0.0784,0.1602,36.2468,39.3646,-0.0247,-0.0013,-0.0448,-0.043,0.1545,0.3688,-0.0435,-0.0105,-0.1523,0.0302,0.0548,0.3041,22.2044,0,1,0.20023453354572612,0.5677950592131878,0.23197040724108614
2020-02-12,76.72,77.17,72.24,73.24,82506,-0.0945,-0.1434,-0.1839,31.0601,-0.0515,-0.0437,-11.8652,0.057,0.3119,137641.0,0.5994,-0.0322,-0.0485,-0.1187,0.0673,0.2028,34.4534,36.2468,-0.0155,-0.0247,-0.0468,-0.0448,4.2321,0.1545,-0.0473,-0.0485,-0.2058,0.029,0.057,0.3119,22.9488,0,0,0.6016927006361606,0.26735672296746626,0.13095057639637234
