Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Regime_Trend_Strength,Regime_Return_5D,Regime_Return_20D,Regime_Volatility,Regime_ATR,Regime_BB_Width,Regime_ADX,Target,Regime_Cluster,Regime_Prob_Bear,Regime_Prob_Sideways,Regime_Prob_Bull,Probability,Signal,Position_Change
2025-03-06,747.26,752.94,728.48,732.52,1087776,-0.071,-0.198,-0.3178,33.0565,-0.0826,-0.0893,-8.4041,0.0574,0.2714,983124.8,1.1064,-0.0009,-0.0073,-0.084,0.0334,0.1652,33.1387,32.2827,0.0052,0.0169,-0.0859,-0.0897,1.3346,1.0738,-0.1494,-0.0073,-0.175,0.0257,0.0574,0.2714,40.9364,1,0,0.9992445669108512,2.3225320264994e-05,0.0007322077688832,0.456,-1,0
2025-03-07,732.37,757.98,727.68,733.81,1431961,-0.0632,-0.1903,-0.3145,33.389,-0.0786,-0.087,-10.3973,0.0548,0.2536,1019139.2,1.4051,0.0018,0.0362,-0.104,0.0413,0.2023,33.0565,33.1387,-0.0009,0.0052,-0.0826,-0.0859,1.1064,1.3346,-0.1533,0.0362,-0.1555,0.0257,0.0548,0.2536,40.559,0,0,0.9984272262631974,2.778131463736783e-05,0.0015449924221652,0.456,-1,0
2025-03-10,736.35,741.43,692.51,699.49,876358,-0.0978,-0.2212,-0.3443,29.2302,-0.0823,-0.0895,-12.1564,0.0582,0.2549,1036797.8,0.8453,-0.0468,-0.0249,-0.1216,0.0699,0.1427,33.389,33.0565,0.0018,-0.0009,-0.0786,-0.0826,1.4051,1.1064,-0.158,-0.0249,-0.1919,0.027,0.0582,0.2549,40.7691,0,0,0.9990867342763908,1.3846719001497384e-05,0.0008994190046066,0.456,-1,0
2025-03-11,690.57,709.1,673.78,684.34,1175665,-0.1074,-0.2309,-0.3562,27.5962,-0.0849,-0.0902,-9.6736,0.0594,0.2541,1070089.5,1.0987,-0.0217,-0.0618,-0.0967,0.0516,0.299,29.2302,33.389,-0.0468,0.0018,-0.0823,-0.0786,0.8453,1.4051,-0.1629,-0.0618,-0.199,0.0272,0.0594,0.2541,41.228,0,0,0.9989533254632328,9.338857058850117e-06,0.0010373356797076,0.456,-1,0
2025-03-12,687.53,693.31,668.9,673.68,878754,-0.111,-0.2356,-0.3639,26.4747,-0.087,-0.0907,-11.2493,0.056,0.267,1073178.15,0.8188,-0.0156,-0.0812,-0.1125,0.0362,0.1958,27.5962,29.2302,-0.0217,-0.0468,-0.0849,-0.0823,1.0987,0.8453,-0.1678,-0.0812,-0.1798,0.0264,0.056,0.267,41.7221,0,0,0.9986392974978634,0.0002215409959822,0.0011391615061535,0.456,-1,0
2025-03-13,673.68,679.91,654.65,657.39,860568,-0.1214,-0.2466,-0.3769,24.8151,-0.0908,-0.0925,-10.9107,0.0553,0.2852,1067841.35,0.8059,-0.0242,-0.1026,-0.1091,0.0384,0.1085,26.4747,27.5962,-0.0156,-0.0217,-0.087,-0.0849,0.8188,1.0987,-0.173,-0.1026,-0.1968,0.0265,0.0553,0.2852,42.3794,0,0,0.9992867864341096,0.0002065603747691,0.0005066531911212,0.456,-1,0
2025-03-17,665.11,686.53,644.23,647.37,2924980,-0.1235,-0.2505,-0.384,23.8257,-0.0937,-0.0939,-8.5829,0.0552,0.2941,1183249.5,2.472,-0.0152,-0.1178,-0.0858,0.0653,0.0742,24.8151,26.4747,-0.0242,-0.0156,-0.0908,-0.087,0.8059,0.8188,-0.1782,-0.1178,-0.2152,0.0262,0.0552,0.2941,43.1317,0,0,0.9996941554245043,8.59976034791652e-05,0.0002198469720158,0.456,-1,0
2025-03-18,647.37,647.37,647.37,647.37,0,-0.1131,-0.243,-0.3817,23.8257,-0.0938,-0.0939,-9.7516,0.0501,0.3112,1140752.3,0.0,0.0,-0.0745,-0.0975,0.0,0.0,23.8257,24.8151,-0.0152,-0.0242,-0.0937,-0.0908,2.472,0.8059,-0.1832,-0.0745,-0.1673,0.024,0.0501,0.3112,43.8303,1,0,0.9994564296713574,0.0004619796954357,8.159063320657085e-05,0.456,-1,0
2025-03-19,671.09,722.65,671.09,707.86,2938822,-0.0274,-0.1667,-0.3217,40.4488,-0.0781,-0.0843,-2.9571,0.05,0.278,1236047.25,2.3776,0.0934,0.0344,-0.0296,0.0728,0.7131,23.8257,23.8257,0.0,-0.0152,-0.0938,-0.0937,0.0,2.472,-0.1861,0.0344,-0.09,0.0331,0.05,0.278,41.7116,1,0,0.9924225314373945,0.0035920720928985,0.0039853964697072,0.456,-1,0
2025-03-20,718.42,734.66,703.67,707.96,1708580,-0.0248,-0.1611,-0.3194,40.4719,-0.0711,-0.0816,-3.4438,0.0494,0.2733,1281456.35,1.3333,0.0001,0.0509,-0.0344,0.0438,0.1384,40.4488,23.8257,0.0934,0.0,-0.0781,-0.0938,2.3776,0.0,-0.1888,0.0509,-0.0758,0.033,0.0494,0.2733,39.4041,1,0,0.9842819306217234,0.0045354222132349,0.0111826471650413,0.456,-1,0
2025-03-21,711.64,832.01,706.66,797.04,17122444,0.0878,-0.0535,-0.232,56.63,-0.0487,-0.0677,8.808,0.0517,0.2417,2085358.65,8.2108,0.1258,0.2124,0.0881,0.1573,0.721,40.4719,40.4488,0.0001,0.0934,-0.0711,-0.0781,1.3333,2.3776,-0.1886,0.2124,-0.0034,0.0428,0.0517,0.2417,38.0037,1,0,0.636899362310642,1.8777667697223503e-09,0.3631006358115919,0.456,-1,0
2025-03-24,808.1,841.43,801.17,819.9,4178380,0.1065,-0.0253,-0.2083,59.6564,-0.0335,-0.0594,11.7319,0.0499,0.2354,2240648.6,1.8648,0.0287,0.2665,0.1173,0.0491,0.4652,56.63,40.4719,0.1258,0.0001,-0.0487,-0.0711,8.2108,1.3333,-0.1878,0.2665,0.0011,0.043,0.0499,0.2354,36.8584,0,2,0.3326322029658026,1.1109926927191949e-12,0.6673677970330861,0.493,-1,0
