Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2016-01-29,237.98,242.52,237.98,241.35,5360184,0.002,-0.0138,-0.029,30.3433,-0.0111,-0.0121,0.0083,0.0237,0.069,5575441.4,0.9614,0.0176,0.0262,0.0001,1
2016-02-01,243.23,245.29,242.24,243.63,4609484,0.0104,-0.0043,-0.0196,34.5134,-0.0087,-0.0114,1.6905,0.0235,0.0591,5646161.8,0.8164,0.0094,0.0286,0.0169,0
2016-02-02,244.83,244.89,241.43,242.26,6528628,0.0043,-0.0095,-0.0249,33.2262,-0.0074,-0.0106,2.7265,0.0233,0.0559,5713216.4,1.1427,-0.0056,0.0122,0.0273,0
2016-02-03,240.12,241.71,239.55,239.97,4850244,-0.0047,-0.0182,-0.0338,31.1359,-0.007,-0.01,0.7769,0.0225,0.0544,5797685.0,0.8366,-0.0095,0.0079,0.0078,1
2016-02-04,240.93,242.51,240.36,241.2,5675992,0.0003,-0.0126,-0.0285,33.5539,-0.0061,-0.0092,3.0329,0.0218,0.0504,5873207.8,0.9664,0.0051,0.0169,0.0303,1
2016-02-05,242.03,244.56,240.37,242.59,7523904,0.0055,-0.0067,-0.0227,36.277,-0.0049,-0.0083,3.1508,0.0217,0.05,5946631.6,1.2652,0.0058,0.0051,0.0315,0
2016-02-08,242.54,243.23,236.86,238.13,3481924,-0.0118,-0.024,-0.0403,31.7771,-0.0055,-0.0078,0.5362,0.0226,0.0483,5946310.0,0.5856,-0.0184,-0.0226,0.0054,0
2016-02-09,236.03,237.14,234.64,235.88,5535460,-0.0191,-0.0319,-0.0489,29.7708,-0.0067,-0.0077,-1.4498,0.023,0.0484,6058637.4,0.9136,-0.0094,-0.0263,-0.0145,0
2016-02-10,235.39,236.82,232.21,232.87,7682280,-0.0287,-0.0426,-0.0605,27.2886,-0.0086,-0.0079,-2.1924,0.0177,0.0544,6229814.6,1.2331,-0.0128,-0.0296,-0.0219,0
2016-02-11,232.19,232.88,222.58,224.21,8803600,-0.059,-0.0754,-0.0945,21.6863,-0.0134,-0.0093,-5.4684,0.0202,0.0779,6444237.2,1.3661,-0.0372,-0.0704,-0.0547,0
2016-02-12,225.06,226.78,222.08,223.32,12542144,-0.0571,-0.0762,-0.0973,21.2045,-0.0171,-0.0108,-7.4705,0.0201,0.096,6757385.2,1.8561,-0.004,-0.0794,-0.0747,1
2016-02-15,225.29,227.19,223.25,223.82,10912960,-0.05,-0.0714,-0.0944,22.2496,-0.0195,-0.0126,-8.1312,0.0201,0.1085,7032170.2,1.5519,0.0022,-0.0601,-0.0813,0
2016-02-16,225.64,225.75,221.16,223.79,7136096,-0.0456,-0.0689,-0.0936,22.2306,-0.0213,-0.0143,-7.624,0.0204,0.1193,7064205.6,1.0102,-0.0001,-0.0513,-0.0762,1
2016-02-17,224.58,225.27,220.47,224.12,7503924,-0.0402,-0.0651,-0.0915,23.0115,-0.0223,-0.0159,-6.605,0.0207,0.127,7119141.2,1.054,0.0015,-0.0376,-0.066,1
2016-02-18,226.67,227.88,224.6,227.47,6799856,-0.0234,-0.0492,-0.0772,30.6272,-0.0213,-0.0168,-5.6924,0.0199,0.1285,6980954.6,0.9741,0.0149,0.0145,-0.0569,0
2016-02-19,227.31,228.19,223.8,227.43,3328660,-0.0214,-0.0475,-0.0766,30.5883,-0.0206,-0.0175,-6.2492,0.0201,0.1315,6832347.4,0.4872,-0.0002,0.0184,-0.0625,0
