Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2025-02-25,824.41,832.74,824.41,829.96,24138708,-0.01,-0.0164,0.0028,44.6657,-0.0019,-0.0004,-1.1187,0.0165,0.0481,19668162.3,1.2273,0.0031,-0.0236,-0.0112,0.01,0.6663,43.1108,46.6803,-0.0091,0.0032,-0.0011,0.0003,1.0839,0.8014,1,0.5511,1,0
2025-02-27,830.06,843.97,830.06,839.01,35786800,0.0007,-0.0054,0.0136,49.8263,-0.0016,-0.0007,-0.3575,0.0165,0.047,20170260.0,1.7742,0.0109,-0.0153,-0.0036,0.0166,0.6434,44.6657,43.1108,0.0031,-0.0091,-0.0019,-0.0011,1.2273,1.0839,1,0.6121,1,0
2025-02-28,831.26,857.04,831.26,854.65,54516728,0.0175,0.0126,0.0322,57.2469,0.0001,-0.0005,2.0441,0.0166,0.0478,22105012.1,2.4663,0.0186,0.0269,0.0204,0.0302,0.9073,49.8263,44.6657,0.0109,0.0031,-0.0016,-0.0019,1.7742,1.2273,0,0.5962,1,0
2025-03-03,858.3,859.9,835.75,839.43,21205364,-0.0006,-0.0052,0.0137,49.5645,0.0,-0.0004,0.3959,0.0179,0.0479,22885903.9,0.9266,-0.0178,0.0054,0.004,0.0288,0.1524,57.2469,49.8263,0.0186,0.0109,0.0001,-0.0016,2.4663,1.7742,1,0.5601,1,0
2025-03-04,837.68,845.72,835.33,843.6,19920958,0.004,-0.0003,0.0185,51.4855,0.0003,-0.0002,-0.4273,0.0176,0.0446,22868124.8,0.8711,0.005,0.0196,-0.0043,0.0123,0.796,49.5645,57.2469,-0.0178,0.0186,0.0,0.0001,0.9266,2.4663,0,0.5837,1,0
2025-03-05,839.63,843.99,832.87,833.73,21583872,-0.007,-0.0115,0.0065,46.9293,-0.0004,-0.0003,-1.9187,0.0175,0.0459,22516493.3,0.9586,-0.0117,0.0045,-0.0192,0.0133,0.0773,51.4855,49.5645,0.005,-0.0178,0.0003,0.0,0.8711,0.9266,1,0.5305,1,0
2025-03-06,832.25,838.61,824.97,834.32,32966088,-0.0057,-0.0104,0.0072,47.23,-0.0008,-0.0004,-2.0843,0.0177,0.0437,22981022.4,1.4345,0.0007,-0.0056,-0.0208,0.0163,0.6855,46.9293,51.4855,-0.0117,0.005,-0.0004,0.0003,0.9586,0.8711,0,0.5625,1,0
2025-03-07,829.78,839.23,827.61,833.36,13372914,-0.0062,-0.0111,0.006,46.7658,-0.0013,-0.0006,0.1274,0.0178,0.0393,22311632.3,0.5994,-0.0012,-0.0249,0.0013,0.0139,0.4948,47.23,46.9293,0.0007,-0.0117,-0.0008,-0.0004,1.4345,0.9586,0,0.5661,1,0
2025-03-10,833.24,838.61,830.3,832.5,15604050,-0.0066,-0.0116,0.0049,46.3265,-0.0017,-0.0008,-0.2946,0.0169,0.0366,21916354.8,0.712,-0.001,-0.0083,-0.0029,0.01,0.2647,46.7658,47.23,-0.0012,0.0007,-0.0013,-0.0008,0.5994,1.4345,0,0.5561,1,0
2025-03-11,829.98,835.7,823.89,831.51,19898430,-0.007,-0.0123,0.0036,45.7933,-0.0022,-0.0011,0.5004,0.0169,0.0366,22051478.8,0.9024,-0.0012,-0.0143,0.005,0.0142,0.6452,46.3265,46.7658,-0.001,-0.0012,-0.0017,-0.0013,0.712,0.5994,1,0.528,1,0
2025-03-12,834.5,847.79,834.5,844.16,18784106,0.0073,0.0026,0.0187,53.2051,-0.0012,-0.0011,1.7109,0.017,0.0365,21854448.9,0.8595,0.0152,0.0125,0.0171,0.0157,0.7269,45.7933,46.3265,-0.0012,-0.001,-0.0022,-0.0017,0.9024,0.712,0,0.5488,1,0
2025-03-13,846.58,848.93,838.69,841.92,15736264,0.0042,-0.0,0.0159,51.8531,-0.0007,-0.001,0.3468,0.0161,0.0366,21500783.6,0.7319,-0.0027,0.0091,0.0035,0.0122,0.3154,53.2051,45.7933,0.0152,-0.0012,-0.0012,-0.0022,0.8595,0.9024,1,0.5211,1,0
2025-03-17,841.13,850.5,841.13,843.79,18950652,0.0058,0.0021,0.0179,52.9285,-0.0001,-0.0008,-1.2707,0.0161,0.0369,21818194.5,0.8686,0.0022,0.0125,-0.0127,0.0111,0.2839,51.8531,53.2051,-0.0027,0.0152,-0.0007,-0.0012,0.7319,0.8595,0,0.5398,1,0
2025-03-18,843.79,843.79,843.79,843.79,0,0.0053,0.002,0.0177,52.9285,0.0003,-0.0006,0.5194,0.0148,0.0371,20820199.9,0.0,0.0,0.0136,0.0052,0.0,0.0,52.9285,51.8531,0.0022,-0.0027,-0.0001,-0.0007,0.8686,0.7319,1,0.4781,-1,-2
2025-03-19,855.93,863.82,854.55,860.42,15221406,0.0226,0.0209,0.0374,61.7419,0.0022,-0.0,1.9938,0.0155,0.0417,20934322.9,0.7271,0.0197,0.0348,0.0199,0.0108,0.6332,52.9285,52.9285,0.0,0.0022,0.0003,-0.0001,0.0,0.8686,1,0.545,1,2
2025-03-20,865.3,875.17,862.99,872.58,17833978,0.0334,0.0339,0.0515,66.6579,0.0047,0.0009,4.6598,0.0153,0.0522,21008476.3,0.8489,0.0141,0.0337,0.0466,0.014,0.7874,61.7419,52.9285,0.0197,0.0,0.0022,0.0003,0.7271,0.0,1,0.5044,-1,-2
2025-03-21,866.07,875.22,866.07,873.37,33508264,0.031,0.0334,0.0519,66.955,0.0067,0.0021,4.6805,0.014,0.0608,22089683.9,1.5169,0.0009,0.0374,0.0468,0.0105,0.7978,66.6579,61.7419,0.0141,0.0197,0.0047,0.0022,0.8489,0.7271,1,0.4969,-1,0
2025-03-24,877.64,890.17,875.0,888.0,17393736,0.0435,0.0486,0.0688,71.9409,0.0094,0.0035,6.5566,0.0132,0.0744,21639845.2,0.8038,0.0168,0.0524,0.0656,0.0171,0.857,66.955,66.6579,0.0009,0.0141,0.0067,0.0047,1.5169,0.8489,1,0.541,1,2
2025-03-25,890.41,909.56,888.74,898.58,39101416,0.0503,0.0586,0.0807,74.8914,0.0123,0.0052,7.9375,0.0139,0.0898,22810869.0,1.7142,0.0119,0.0649,0.0794,0.0232,0.4726,71.9409,66.955,0.0168,0.0009,0.0094,0.0067,0.8038,1.5169,0,0.509,-1,-2
2025-03-26,900.33,901.56,888.98,891.23,24478442,0.0376,0.0479,0.0711,69.4294,0.014,0.007,7.1821,0.0141,0.0973,23000108.8,1.0643,-0.0082,0.0358,0.0718,0.0141,0.1789,74.8914,71.9409,0.0119,0.0168,0.0123,0.0094,1.7142,0.8038,1,0.511,-1,0
2025-03-27,888.0,908.22,887.06,900.5,41658100,0.0436,0.0563,0.0813,72.1848,0.0157,0.0087,6.6741,0.0146,0.105,23876078.4,1.7448,0.0104,0.032,0.0667,0.0235,0.6352,69.4294,74.8914,-0.0082,0.0119,0.014,0.0123,1.0643,1.7142,1,0.5449,1,2
2025-03-28,902.3,905.76,890.88,901.91,28773648,0.0407,0.0556,0.0821,72.5895,0.0171,0.0104,7.1254,0.0148,0.1131,23525420.8,1.2231,0.0016,0.0327,0.0713,0.0165,0.7413,72.1848,69.4294,0.0104,-0.0082,0.0157,0.014,1.7448,1.0643,0,0.5277,1,0
2025-04-01,888.98,892.88,870.9,872.14,28511006,0.0058,0.0199,0.0459,54.5454,0.0159,0.0118,3.3598,0.0172,0.1178,22225134.7,1.2828,-0.033,-0.0179,0.0336,0.0252,0.0564,72.5895,72.1848,0.0016,0.0104,0.0171,0.0157,1.2231,1.7448,1,0.508,-1,-2
2025-04-02,873.54,887.6,873.54,886.47,11573564,0.0201,0.0352,0.0624,59.734,0.0154,0.0123,5.0581,0.0172,0.1171,21743544.7,0.5323,0.0164,-0.0135,0.0506,0.0159,0.9196,54.5454,72.5895,-0.033,0.0016,0.0159,0.0171,1.2828,1.2231,0,0.5431,1,2
2025-04-03,878.67,889.97,876.65,885.46,11250038,0.0171,0.0326,0.0606,59.2209,0.0149,0.0129,2.9102,0.017,0.118,21309998.7,0.5279,-0.0011,-0.0065,0.0291,0.015,0.6614,59.734,54.5454,0.0164,-0.033,0.0154,0.0159,0.5323,1.2828,1,0.4716,-1,-2
2025-04-04,894.41,908.69,893.47,896.53,33540454,0.0269,0.0437,0.0731,62.9749,0.0152,0.0132,2.7447,0.0178,0.1166,21907827.8,1.531,0.0125,-0.0044,0.0274,0.017,0.2011,59.2209,59.734,-0.0011,0.0164,0.0149,0.0154,0.5279,0.5323,0,0.4874,-1,0
2025-04-07,869.65,878.06,857.51,867.13,37995450,-0.0061,0.0091,0.0375,49.8498,0.0132,0.0136,-0.7145,0.0208,0.1153,22159295.9,1.7147,-0.0328,-0.0386,-0.0071,0.0237,0.4681,62.9749,59.2209,0.0125,-0.0011,0.0152,0.0149,1.531,0.5279,1,0.4884,-1,0
2025-04-08,870.73,879.12,863.48,872.78,35563872,0.0003,0.015,0.0438,51.9235,0.0115,0.0131,-1.714,0.022,0.1083,23268843.8,1.5284,0.0065,0.0007,-0.0171,0.0179,0.5946,49.8498,62.9749,-0.0328,0.0125,0.0132,0.0152,1.7147,1.531,0,0.5412,1,2
2025-04-09,870.73,875.66,865.06,870.73,22454608,-0.0018,0.0122,0.0409,51.0979,0.01,0.0125,-3.0993,0.0213,0.1006,23611371.7,0.951,-0.0023,-0.0178,-0.031,0.0122,0.5349,51.9235,49.8498,0.0065,-0.0328,0.0115,0.0132,1.5284,1.7147,1,0.5307,1,0
2025-04-11,875.54,897.57,875.54,891.33,32775766,0.0197,0.0346,0.0648,58.2772,0.0103,0.0118,0.0112,0.0217,0.09,24255238.5,1.3513,0.0237,0.0066,0.0001,0.0247,0.7167,51.0979,51.9235,-0.0023,0.0065,0.01,0.0115,0.951,1.5284,1,0.5388,1,0
2025-04-15,920.06,925.88,915.13,920.01,49298344,0.0472,0.0651,0.098,65.8042,0.0127,0.0117,2.1666,0.023,0.0915,25780950.4,1.9122,0.0322,0.0262,0.0217,0.0117,0.454,58.2772,51.0979,0.0237,-0.0023,0.0103,0.01,1.3513,0.951,1,0.5482,1,0
2025-04-16,929.34,929.34,917.84,926.48,19136820,0.0492,0.0695,0.1046,67.2401,0.0152,0.0123,2.7242,0.0225,0.0937,25950978.2,0.7374,0.007,0.0684,0.0272,0.0124,0.7513,65.8042,58.2772,0.0322,0.0237,0.0127,0.0103,1.9122,1.3513,1,0.5386,1,0
