Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-05-15,1403.57,1412.94,1396.19,1399.4,5046534,-0.0119,-0.0156,0.0595,43.1133,-0.0102,-0.0078,-3.4577,0.0182,0.0787,11445440.2,0.4409,-0.0027,-0.0016,-0.0346,1,0.5093,-1,0
2024-05-16,1401.65,1410.49,1381.37,1408.37,14711774,-0.0051,-0.0089,0.0656,46.1353,-0.0093,-0.0081,-2.8094,0.0182,0.0769,11712719.7,1.2561,0.0064,0.0224,-0.0281,1,0.4729,-1,0
2024-05-17,1406.09,1420.07,1396.41,1418.59,10916476,0.0019,-0.0017,0.0725,49.4314,-0.0079,-0.008,0.1186,0.0185,0.0745,11308258.9,0.9654,0.0073,0.0201,0.0012,1,0.4869,-1,0
2024-05-21,1408.61,1424.64,1408.61,1419.01,11176128,0.002,-0.0013,0.0721,49.568,-0.0067,-0.0077,1.1692,0.0185,0.0713,11079976.4,1.0087,0.0003,0.0238,0.0117,1,0.4904,-1,0
2024-05-22,1419.16,1451.27,1419.16,1443.25,10281604,0.0173,0.0151,0.0894,56.8172,-0.0043,-0.0069,4.2223,0.0188,0.0662,11076538.5,0.9282,0.0171,0.0286,0.0422,1,0.5425,1,2
2024-05-23,1441.17,1474.44,1437.66,1468.34,14608260,0.0315,0.0314,0.1072,62.7807,-0.001,-0.0057,4.758,0.0196,0.0707,11076673.8,1.3188,0.0174,0.0493,0.0476,0,0.5541,1,0
2024-05-24,1465.95,1470.76,1458.51,1462.61,7094776,0.0248,0.0263,0.1017,60.7184,0.0012,-0.0043,6.1778,0.0174,0.0755,10908273.8,0.6504,-0.0039,0.0385,0.0618,0,0.5185,-1,-2
2024-05-27,1462.59,1467.21,1444.13,1448.78,6629010,0.0137,0.0159,0.0903,55.9419,0.0022,-0.003,4.1801,0.0177,0.077,10442528.0,0.6348,-0.0095,0.0213,0.0418,0,0.5046,-1,0
2024-05-28,1450.51,1460.88,1435.44,1438.85,7820162,0.0061,0.0086,0.0819,52.7341,0.0024,-0.002,3.8139,0.0176,0.0778,10362843.7,0.7546,-0.0069,0.014,0.0381,0,0.5069,-1,0
2024-05-29,1429.26,1440.63,1421.31,1423.61,7383556,-0.0041,-0.002,0.0697,48.1691,0.0017,-0.0013,1.4581,0.017,0.0767,10369622.8,0.712,-0.0106,-0.0136,0.0146,0,0.4758,-1,0
2024-05-30,1418.4,1423.24,1403.18,1407.87,13206858,-0.0137,-0.0125,0.0573,43.9384,0.0002,-0.001,0.6053,0.0166,0.0752,10456252.6,1.2631,-0.0111,-0.0412,0.0061,1,0.4571,-1,0
2024-05-31,1414.25,1425.06,1405.3,1413.36,31069832,-0.0089,-0.0083,0.0608,45.7288,-0.0007,-0.0009,0.3543,0.0164,0.072,11284111.9,2.7534,0.0039,-0.0337,0.0035,1,0.4901,-1,0
2024-06-03,1465.33,1496.45,1441.62,1492.33,21527942,0.0418,0.0452,0.1187,63.6917,0.003,-0.0001,5.1981,0.0184,0.0822,11499161.1,1.8721,0.0559,0.0301,0.052,0,0.549,1,2
2024-06-04,1480.2,1480.2,1343.1,1380.63,36709098,-0.0328,-0.0318,0.0346,42.3433,-0.0002,-0.0001,-2.7047,0.0262,0.0918,12964905.6,2.8314,-0.0748,-0.0405,-0.027,1,0.5096,-1,-2
2024-06-05,1405.06,1414.1,1367.61,1403.82,17464890,-0.015,-0.015,0.0514,46.3628,-0.0016,-0.0004,-2.732,0.0273,0.088,13112276.5,1.3319,0.0168,-0.0139,-0.0273,1,0.5165,-1,0
2024-06-06,1417.9,1426.5,1404.41,1414.54,17855722,-0.0068,-0.0071,0.0588,48.162,-0.002,-0.0007,-3.664,0.0268,0.0866,13533112.5,1.3194,0.0076,0.0047,-0.0366,1,0.5016,-1,0
