Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target
2020-01-30,1838.86,1843.12,1809.06,1820.0,2098567,-0.0195,-0.0181,-0.0139,34.559,-0.0021,0.0013,-4.2926,0.0178,0.0503,2817401.7,0.7449,-0.0078,-0.0242,-0.0429,0.0187,0.3212,37.1099,42.1369,-0.0134,0.0067,-0.0004,0.0009,0.8147,0.6261,0
2020-01-31,1821.32,1825.54,1763.6,1769.95,3287223,-0.0422,-0.0434,-0.0406,27.4315,-0.0057,-0.0,-6.098,0.0197,0.0714,2748974.8,1.1958,-0.0275,-0.0478,-0.061,0.035,0.1025,34.559,37.1099,-0.0078,-0.0134,-0.0021,-0.0004,0.7449,0.8147,1
2020-02-03,1832.05,1868.4,1781.99,1789.91,4728073,-0.0285,-0.0314,-0.0295,33.3363,-0.0074,-0.0015,-2.9064,0.022,0.0792,2834218.0,1.6682,0.0113,-0.0308,-0.0291,0.0483,0.0917,27.4315,34.559,-0.0275,-0.0078,-0.0057,-0.0021,1.1958,0.7449,1
2020-02-04,1812.47,1819.02,1776.37,1794.38,3509339,-0.0237,-0.0279,-0.0269,34.6193,-0.0085,-0.0029,-2.6951,0.0224,0.0847,2888219.1,1.2151,0.0025,-0.0348,-0.027,0.0238,0.4223,33.3363,27.4315,0.0113,-0.0275,-0.0074,-0.0057,1.6682,1.1958,1
2020-02-05,1800.55,1836.05,1791.44,1827.41,2439322,-0.0051,-0.0096,-0.0088,43.3029,-0.0077,-0.0038,-2.5137,0.0226,0.0778,2750312.5,0.8869,0.0184,-0.0037,-0.0251,0.0244,0.8063,34.6193,33.3363,0.0025,0.0113,-0.0085,-0.0074,1.2151,1.6682,0
2020-02-06,1826.09,1850.95,1800.98,1811.92,2640065,-0.0123,-0.0173,-0.0171,40.5808,-0.0079,-0.0047,-2.8571,0.0235,0.079,2695607.1,0.9794,-0.0085,-0.0044,-0.0286,0.0276,0.2189,43.3029,34.6193,0.0184,0.0025,-0.0077,-0.0085,0.8869,1.2151,1
2020-02-07,1820.98,1831.2,1803.96,1818.9,2083442,-0.0077,-0.013,-0.0132,42.3397,-0.0075,-0.0052,-2.1455,0.0216,0.0778,2703988.85,0.7705,0.0039,0.0277,-0.0215,0.015,0.5485,40.5808,43.3029,-0.0085,0.0184,-0.0079,-0.0077,0.9794,0.8869,1
2020-02-10,1822.6,1844.82,1803.96,1840.52,2383032,0.0037,-0.0012,-0.0014,47.5215,-0.0061,-0.0053,-0.3363,0.022,0.0764,2680945.8,0.8889,0.0119,0.0283,-0.0034,0.0222,0.8948,42.3397,40.5808,0.0039,-0.0085,-0.0075,-0.0079,0.7705,0.9794,0
2020-02-11,1841.41,1851.46,1828.3,1833.24,1335820,-0.0002,-0.005,-0.0053,46.0218,-0.0054,-0.0054,-1.3899,0.0217,0.075,2600314.2,0.5137,-0.004,0.0217,-0.0139,0.0126,0.2133,47.5215,42.3397,0.0119,0.0039,-0.0061,-0.0075,0.8889,0.7705,1
2020-02-12,1831.28,1860.14,1830.35,1848.01,1620407,0.0071,0.0029,0.0027,49.5038,-0.004,-0.0051,0.7496,0.0215,0.0699,2550300.5,0.6354,0.0081,0.0113,0.0075,0.0161,0.5928,46.0218,47.5215,-0.004,0.0119,-0.0054,-0.0061,0.5137,0.8889,1
2020-02-13,1849.89,1870.36,1848.22,1866.06,1645948,0.0153,0.0122,0.0123,53.4553,-0.0022,-0.0044,2.5308,0.0215,0.0632,2476737.2,0.6646,0.0098,0.0299,0.0253,0.0119,0.8058,49.5038,46.0218,0.0081,-0.004,-0.004,-0.0054,0.6354,0.5137,0
