Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-05-15,3612.7,3633.47,3585.86,3590.4,1115021,-0.0074,-0.0114,0.0412,46.5298,-0.0018,-0.0036,1.564,0.0188,0.0517,1993449.95,0.5593,-0.0053,-0.0243,0.0156,1,0.5081,-1,0
2024-05-16,3626.47,3643.62,3582.1,3635.65,2599399,0.0046,0.001,0.0538,51.2233,-0.0012,-0.0031,1.7085,0.0186,0.052,1970848.9,1.3189,0.0126,-0.0078,0.0171,0,0.5496,1,2
2024-05-17,3652.47,3653.4,3569.52,3573.34,2765804,-0.0114,-0.0155,0.0353,45.3235,-0.0022,-0.0029,0.4831,0.0192,0.0529,1935324.9,1.4291,-0.0171,-0.0082,0.0048,0,0.5142,-1,-2
2024-05-21,3570.08,3583.27,3550.93,3560.39,1908117,-0.0136,-0.0183,0.0313,44.1845,-0.0032,-0.003,-1.8638,0.0189,0.0519,1882843.3,1.0134,-0.0036,-0.0253,-0.0186,1,0.5085,-1,0
2024-05-22,3574.18,3580.01,3557.92,3571.39,1311168,-0.0096,-0.0147,0.0341,45.4388,-0.0036,-0.0031,-2.993,0.0179,0.0519,1861957.55,0.7042,0.0031,-0.0106,-0.0299,1,0.5102,-1,0
2024-05-23,3579.73,3639.42,3565.33,3628.66,2095742,0.0057,0.001,0.0501,51.5442,-0.0027,-0.003,-1.3879,0.0174,0.0516,1876365.35,1.1169,0.016,0.0107,-0.0139,0,0.5445,1,2
2024-05-24,3614.49,3619.66,3582.85,3587.7,1309452,-0.0051,-0.0099,0.0379,47.4542,-0.0028,-0.003,-2.0886,0.0167,0.0504,1875972.35,0.698,-0.0113,-0.0132,-0.0209,0,0.4972,-1,-2
2024-05-27,3592.82,3642.54,3580.1,3585.41,1841538,-0.0052,-0.0101,0.0368,47.2286,-0.003,-0.003,-0.4852,0.0162,0.0497,1825235.7,1.0089,-0.0006,0.0034,-0.0049,0,0.5052,-1,0
2024-05-28,3595.62,3606.8,3569.52,3578.75,1801993,-0.0064,-0.0115,0.0346,46.5355,-0.0032,-0.003,-2.0261,0.0156,0.0471,1813376.45,0.9937,-0.0019,0.0052,-0.0203,0,0.5068,-1,0
2024-05-29,3587.14,3587.14,3541.56,3544.96,1568095,-0.0143,-0.02,0.0245,43.0815,-0.0041,-0.0033,-1.7919,0.0158,0.0495,1836246.55,0.854,-0.0094,-0.0074,-0.0179,0,0.5019,-1,0
2024-05-30,3520.13,3536.34,3462.76,3482.01,2919230,-0.0288,-0.036,0.0063,37.4976,-0.0063,-0.0039,-3.0189,0.0165,0.0568,1872054.15,1.5594,-0.0178,-0.0404,-0.0302,0,0.5429,1,2
2024-05-31,3485.64,3494.78,3405.26,3421.29,10956800,-0.0416,-0.0508,-0.0112,33.0481,-0.0095,-0.0051,-5.8961,0.017,0.0741,2295341.95,4.7735,-0.0174,-0.0464,-0.059,1,0.5465,1,0
2024-06-03,3478.93,3496.41,3444.64,3451.02,2156773,-0.0302,-0.041,-0.0025,36.9905,-0.0109,-0.0062,-3.4231,0.0168,0.0817,2255068.9,0.9564,0.0087,-0.0375,-0.0342,1,0.5665,1,0
2024-06-04,3448.36,3490.3,3347.24,3462.34,3395997,-0.0245,-0.0364,0.0007,38.4761,-0.0117,-0.0073,-2.7539,0.0186,0.0866,2322177.2,1.4624,0.0033,-0.0325,-0.0275,1,0.5436,1,0
2024-06-05,3463.28,3526.46,3448.36,3491.65,2799670,-0.0147,-0.0272,0.0091,42.2711,-0.0115,-0.0081,-2.2327,0.0191,0.0838,2359055.1,1.1868,0.0085,-0.015,-0.0223,1,0.5139,-1,-2
2024-06-06,3523.85,3578.75,3487.04,3569.89,4328036,0.0066,-0.0052,0.0314,50.9662,-0.0092,-0.0082,-1.6196,0.0193,0.0766,2513072.65,1.7222,0.0224,0.0252,-0.0162,1,0.5539,1,2
2024-06-07,3576.33,3648.74,3576.33,3629.12,4552445,0.0211,0.0109,0.048,56.3287,-0.0061,-0.0077,1.1545,0.0189,0.0728,2654370.6,1.7151,0.0166,0.0607,0.0115,0,0.5691,1,0
2024-06-10,3630.1,3640.26,3580.61,3596.27,1734661,0.0107,0.0017,0.0381,52.8749,-0.0045,-0.0071,0.3029,0.0196,0.0732,2657479.2,0.6527,-0.0091,0.0421,0.003,0,0.5254,1,0
