Date,Open,High,Low,Close,Volume
2016-01-01,248.83,250.64,247.4,250.29,3195076
2016-01-04,249.2,249.2,245.55,246.1,5187536
2016-01-05,246.03,247.09,244.0,244.24,3160872
2016-01-06,242.91,247.54,242.91,245.32,4165536
2016-01-07,243.71,244.81,241.32,242.81,6055428
2016-01-08,244.13,244.72,243.05,244.23,3488356
2016-01-11,241.86,243.91,240.31,243.36,3288912
2016-01-12,244.58,244.58,239.89,240.68,4258736
2016-01-13,241.85,244.32,238.4,243.72,4515148
2016-01-14,241.42,243.09,238.97,241.33,6279184
2016-01-15,240.93,242.64,238.65,239.58,5417260
2016-01-18,238.09,239.42,234.72,235.83,6495388
2016-01-19,236.14,238.52,235.94,238.12,6405212
2016-01-20,235.64,254.72,231.71,234.1,9563588
2016-01-21,234.72,237.54,232.97,235.18,6300804
2016-01-22,235.8,240.06,234.96,236.86,4236284
2016-01-25,239.08,240.63,237.49,239.35,10143884
2016-01-27,241.03,241.09,237.48,238.09,4039468
2016-01-28,238.86,240.67,236.79,237.18,9951972
2016-01-29,237.98,242.52,237.98,241.35,5360184
2016-02-01,243.23,245.29,242.24,243.63,4609484
2016-02-02,244.83,244.89,241.43,242.26,6528628
2016-02-03,240.12,241.71,239.55,239.97,4850244
2016-02-04,240.93,242.51,240.36,241.2,5675992
2016-02-05,242.03,244.56,240.37,242.59,7523904
2016-02-08,242.54,243.23,236.86,238.13,3481924
2016-02-09,236.03,237.14,234.64,235.88,5535460
2016-02-10,235.39,236.82,232.21,232.87,7682280
2016-02-11,232.19,232.88,222.58,224.21,8803600
2016-02-12,225.06,226.78,222.08,223.32,12542144
2016-02-15,225.29,227.19,223.25,223.82,10912960
2016-02-16,225.64,225.75,221.16,223.79,7136096
2016-02-17,224.58,225.27,220.47,224.12,7503924
2016-02-18,226.67,227.88,224.6,227.47,6799856
2016-02-19,227.31,228.19,223.8,227.43,3328660
2016-02-22,225.98,228.97,225.98,227.31,4002396
2016-02-23,226.42,226.56,222.08,223.01,6078320
2016-02-24,220.7,221.36,217.57,218.3,6463468
2016-02-25,219.32,220.06,215.68,216.71,8463196
2016-02-26,218.4,223.22,217.25,220.93,6209388
2016-02-29,220.95,225.89,213.34,223.42,8812752
2016-03-01,224.13,226.85,223.42,226.25,4322560
2016-03-02,229.43,232.4,228.74,231.55,6358976
2016-03-03,232.36,234.49,232.19,233.54,4610400
2016-03-04,233.44,235.62,228.31,234.62,5704624
2016-03-08,235.41,235.41,232.08,233.14,1913688
2016-03-09,232.88,236.77,231.44,235.59,6528172
2016-03-10,235.59,235.81,232.21,234.78,2671392
2016-03-11,234.47,236.97,232.88,236.49,4730856
2016-03-14,236.33,238.62,235.7,236.22,3008656
2016-03-15,236.31,237.57,234.87,236.03,7690036
2016-03-16,236.1,237.77,234.25,236.89,4803548
2016-03-17,237.93,238.86,232.45,234.12,5113484
2016-03-18,235.17,237.25,233.42,236.42,4135068
2016-03-21,237.48,240.78,237.31,240.37,5318796
2016-03-22,240.58,242.9,239.25,242.27,4120264
2016-03-23,242.09,242.09,239.21,241.24,8464300
2016-03-28,240.24,242.08,239.47,240.81,11270868
2016-03-29,240.81,243.57,240.06,242.26,6733952
2016-03-30,243.23,245.96,242.28,244.82,7814380
2016-03-31,245.26,248.03,244.85,246.25,20080392
2016-04-01,245.71,247.46,242.95,244.71,5158648
2016-04-04,244.88,246.63,244.6,245.77,6179960
2016-04-05,245.75,247.57,242.68,243.1,6663028
2016-04-06,243.91,245.28,242.94,244.03,4295376
2016-04-07,244.6,244.78,240.71,242.65,3911692
2016-04-08,242.54,244.46,242.36,243.54,2962796
2016-04-11,243.75,246.93,239.74,246.2,4049620
2016-04-12,245.89,246.21,243.51,244.37,4941480
2016-04-13,246.44,249.42,245.87,248.69,4974604
2016-04-18,249.09,251.04,246.35,250.08,4117068
2016-04-20,251.02,252.88,249.1,252.39,3821352
2016-04-21,251.73,254.06,250.35,250.85,8191728
2016-04-22,250.47,253.08,249.48,251.08,7809320
2016-04-25,252.88,252.88,249.32,251.33,5561960
2016-04-26,251.73,256.33,251.16,256.06,7053796
2016-04-27,255.15,258.63,254.95,258.44,5763636
2016-04-28,258.44,261.32,255.26,256.09,8089584
2016-04-29,256.05,261.16,254.31,260.32,5611940
2016-05-02,259.26,259.78,256.56,256.94,3862716
2016-05-03,257.92,260.93,255.9,257.02,4695296
2016-05-04,256.9,260.81,256.16,259.17,5292328
2016-05-05,259.32,260.87,258.1,260.31,5214248
2016-05-06,260.24,260.29,256.85,257.4,2733152
2016-05-09,257.48,263.21,257.25,262.4,6953180
2016-05-10,262.88,263.8,261.18,263.2,5453000
2016-05-11,260.86,263.23,259.71,261.8,6147372
2016-05-12,263.0,264.83,260.35,264.17,4221688
