Date,Open,High,Low,Close,Volume
2016-01-01,217.8,219.76,217.46,219.0,5416562
2016-01-04,216.77,218.66,212.82,214.67,30170947
2016-01-05,215.75,217.84,215.04,216.8,14946239
2016-01-06,217.33,223.97,215.77,222.63,26759864
2016-01-07,220.23,221.73,217.42,218.54,19739943
2016-01-08,220.0,222.78,219.29,221.24,21313199
2016-01-11,219.13,228.8,218.06,226.82,29016443
2016-01-12,227.55,229.79,224.55,225.49,23373377
2016-01-13,227.14,235.04,225.87,232.26,71802356
2016-01-14,229.46,233.16,227.13,228.98,27823189
2016-01-15,230.73,234.99,229.84,231.5,28767318
2016-01-18,231.86,233.79,217.43,219.32,27254669
2016-01-19,221.94,226.43,218.73,225.09,21489315
2016-01-20,223.21,223.21,213.53,216.67,45114225
2016-01-21,219.47,221.24,210.66,212.28,31768619
2016-01-22,214.4,218.06,214.4,216.58,23682648
2016-01-25,217.84,219.73,215.69,216.54,13099564
2016-01-27,217.43,217.84,215.03,215.55,17251028
2016-01-28,215.9,220.39,215.06,219.33,23074633
2016-01-29,219.77,224.31,219.57,223.32,19177163
2016-02-01,224.3,224.7,221.2,222.22,9918809
2016-02-02,222.22,222.76,213.64,215.93,14771279
2016-02-03,213.1,214.39,210.29,211.67,15691478
2016-02-04,213.1,215.9,208.29,209.87,18203784
2016-02-05,211.18,211.8,207.36,209.41,20998404
2016-02-08,209.45,212.41,206.62,207.29,12078110
2016-02-09,205.53,208.96,204.9,206.52,19603494
2016-02-10,205.27,209.86,204.61,207.63,16883350
2016-02-11,207.67,208.34,197.46,199.41,17114833
2016-02-12,201.43,201.43,191.55,195.53,29319458
2016-02-15,198.0,205.19,198.0,204.2,19283523
2016-02-16,205.14,206.63,199.94,200.71,13024856
2016-02-17,201.69,206.51,197.66,205.46,15442221
2016-02-18,207.7,208.94,201.88,202.77,14433087
2016-02-19,202.75,205.5,202.17,203.68,10235503
2016-02-22,203.63,208.85,203.63,207.56,12770834
2016-02-23,207.73,208.61,203.34,204.83,18989787
2016-02-24,203.8,206.75,203.18,205.47,15186204
2016-02-25,205.81,206.32,202.93,203.63,24826958
2016-02-26,205.55,206.79,203.67,204.98,8349402
2016-02-29,205.18,214.52,201.67,208.49,31032353
2016-03-01,208.07,212.46,208.06,211.65,16453192
2016-03-02,214.16,216.93,212.94,216.01,20105967
2016-03-03,217.84,219.57,215.15,218.46,15880459
2016-03-04,218.71,218.92,216.44,217.07,8987660
2016-03-08,217.3,222.35,217.3,221.51,13222993
2016-03-09,220.0,225.16,219.7,224.68,11854901
2016-03-10,224.76,225.59,217.63,218.22,20706353
2016-03-11,218.9,222.06,217.97,218.81,15319044
2016-03-14,219.81,221.38,218.48,219.95,11880095
2016-03-15,220.86,221.69,218.94,220.11,10487788
2016-03-16,220.22,221.25,216.86,220.38,11064129
2016-03-17,224.0,226.16,220.73,221.6,16832997
2016-03-18,222.1,224.69,221.54,224.05,14030979
2016-03-21,224.21,227.17,223.08,226.25,12708074
2016-03-22,226.19,229.51,225.89,228.55,15333442
2016-03-23,228.34,228.34,223.0,224.48,16806372
2016-03-28,224.66,225.03,221.53,222.56,18070240
2016-03-29,223.31,227.28,222.52,226.02,15871250
2016-03-30,227.43,229.4,227.43,228.38,14453294
2016-03-31,227.06,230.33,225.25,227.97,30833349
2016-04-01,226.64,228.21,223.57,225.63,12381116
2016-04-04,226.84,227.32,223.63,225.76,8632568
2016-04-05,224.95,227.36,222.96,223.99,10259495
2016-04-06,225.12,226.12,223.04,225.48,6990781
2016-04-07,225.73,228.58,222.94,226.24,8789163
2016-04-08,225.95,229.99,224.92,226.04,13411752
2016-04-11,226.19,228.04,225.31,226.91,10308361
2016-04-12,226.91,230.65,226.41,228.45,11164859
2016-04-13,229.58,233.36,229.58,232.52,16038542
2016-04-18,232.47,232.69,230.2,232.24,19065716
2016-04-20,233.21,233.21,225.92,226.25,21687934
2016-04-21,227.15,229.46,225.75,227.09,11380697
2016-04-22,226.62,228.48,224.51,226.61,11705087
2016-04-25,227.81,227.81,220.8,221.8,61157544
