Date,Open,High,Low,Close,Volume
2016-01-01,949.49,949.49,939.07,940.69,712262
2016-01-04,938.26,939.75,921.09,922.47,1870184
2016-01-05,928.47,929.09,911.34,914.43,2678020
2016-01-06,914.92,928.91,914.92,927.14,2653228
2016-01-07,922.63,927.65,918.73,923.11,3199580
2016-01-08,928.47,937.17,923.6,933.37,1907544
2016-01-11,927.49,928.08,914.39,919.65,2930228
2016-01-12,919.78,920.68,896.0,905.91,3482594
2016-01-13,901.99,905.89,877.9,887.28,4746092
2016-01-14,884.86,894.95,875.91,887.12,2742052
2016-01-15,891.03,892.14,877.86,880.23,3269408
2016-01-18,880.58,892.22,879.8,886.67,2213922
2016-01-19,886.42,895.38,883.03,887.32,967910
2016-01-20,885.18,889.54,873.19,887.63,1615954
2016-01-21,891.69,893.6,876.37,879.78,2675536
2016-01-22,887.0,898.34,881.93,895.88,1343178
2016-01-25,898.28,912.76,894.22,899.35,1397560
2016-01-27,898.32,909.23,890.48,905.25,1626986
2016-01-28,903.59,916.62,900.68,909.72,3106660
2016-01-29,920.45,936.56,911.22,933.17,2235744
2016-02-01,933.09,941.62,920.56,937.62,1495274
2016-02-02,940.08,949.44,928.64,935.82,1475588
2016-02-03,931.69,948.23,921.07,942.92,1308692
2016-02-04,945.11,952.17,937.34,944.39,1250046
2016-02-05,939.72,952.15,939.72,945.13,1402996
2016-02-08,936.56,941.27,915.88,922.11,1063658
2016-02-09,910.65,910.65,880.21,890.28,2489610
2016-02-10,887.78,893.6,881.19,885.36,1890732
2016-02-11,889.74,893.25,847.45,857.72,1962408
2016-02-12,858.52,875.45,844.47,868.9,2172568
2016-02-15,878.03,900.21,874.13,885.5,2479712
2016-02-16,884.27,890.52,875.3,884.1,1588702
2016-02-17,883.88,889.6,876.62,888.0,1585178
2016-02-18,891.69,905.25,888.96,903.73,1529140
2016-02-19,900.41,908.08,899.67,905.21,879012
2016-02-22,905.44,914.32,899.49,903.74,1324884
2016-02-23,901.54,905.31,880.66,883.49,1306852
